
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-03-22


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1180, -, 1.0, -, 31.6, 54.4, 0.8, "Chi-Chi_ Taiwan", 1999, "CHY002", 7.62, Reverse Oblique, 24.96, 24.96, 235.13, 0.0375, 1.0, RSN1180_CHICHI_CHY002-N.AT2, RSN1180_CHICHI_CHY002-W.AT2 , RSN1180_CHICHI_CHY002-V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1180 SRSS pSa (g)
0.24,0.28863412,0.28863412,0.28863412,0.28863412
0.25,0.25795547,0.25795547,0.25795547,0.25795547
0.26,0.22946346,0.22946346,0.22946346,0.22946346
0.28,0.26661194,0.26661194,0.26661194,0.26661194
0.29,0.28603435,0.28603435,0.28603435,0.28603435
0.3,0.311783,0.311783,0.311783,0.311783
0.32,0.30250405,0.30250405,0.30250405,0.30250405
0.34,0.37649698,0.37649698,0.37649698,0.37649698
0.35,0.38349781,0.38349781,0.38349781,0.38349781
0.36,0.36884033,0.36884033,0.36884033,0.36884033
0.38,0.37572132,0.37572132,0.37572132,0.37572132
0.4,0.40652768,0.40652768,0.40652768,0.40652768
0.42,0.39514068,0.39514068,0.39514068,0.39514068
0.44,0.40352951,0.40352951,0.40352951,0.40352951
0.45,0.42752288,0.42752288,0.42752288,0.42752288
0.46,0.43960664,0.43960664,0.43960664,0.43960664
0.48,0.41265773,0.41265773,0.41265773,0.41265773
0.5,0.33623367,0.33623367,0.33623367,0.33623367
0.55,0.34392002,0.34392002,0.34392002,0.34392002
0.6,0.32708503,0.32708503,0.32708503,0.32708503
0.65,0.25243236,0.25243236,0.25243236,0.25243236
0.667,0.26933739,0.26933739,0.26933739,0.26933739
0.7,0.32724523,0.32724523,0.32724523,0.32724523
0.75,0.3578375,0.3578375,0.3578375,0.3578375
0.8,0.31152266,0.31152266,0.31152266,0.31152266
0.85,0.29827702,0.29827702,0.29827702,0.29827702
0.9,0.29644786,0.29644786,0.29644786,0.29644786
0.95,0.30141002,0.30141002,0.30141002,0.30141002
1.0,0.33979545,0.33979545,0.33979545,0.33979545
1.1,0.36642285,0.36642285,0.36642285,0.36642285
1.2,0.32200507,0.32200507,0.32200507,0.32200507
1.3,0.30429442,0.30429442,0.30429442,0.30429442
1.4,0.32214537,0.32214537,0.32214537,0.32214537
1.5,0.31569871,0.31569871,0.31569871,0.31569871
1.6,0.26975279,0.26975279,0.26975279,0.26975279
1.7,0.25072041,0.25072041,0.25072041,0.25072041
1.8,0.27388447,0.27388447,0.27388447,0.27388447
1.9,0.27929121,0.27929121,0.27929121,0.27929121
2.0,0.26466713,0.26466713,0.26466713,0.26466713
2.2,0.25881166,0.25881166,0.25881166,0.25881166
2.4,0.28742629,0.28742629,0.28742629,0.28742629
2.5,0.26791112,0.26791112,0.26791112,0.26791112
2.6,0.23813739,0.23813739,0.23813739,0.23813739
2.8,0.22302412,0.22302412,0.22302412,0.22302412
3.0,0.22438431,0.22438431,0.22438431,0.22438431
3.2,0.19990994,0.19990994,0.19990994,0.19990994
3.4,0.18562792,0.18562792,0.18562792,0.18562792
3.5,0.17877436,0.17877436,0.17877436,0.17877436
3.6,0.18145797,0.18145797,0.18145797,0.18145797
3.8,0.18219612,0.18219612,0.18219612,0.18219612
4.0,0.20503417,0.20503417,0.20503417,0.20503417
4.2,0.23282991,0.23282991,0.23282991,0.23282991
4.4,0.25785297,0.25785297,0.25785297,0.25785297
4.6,0.26069356,0.26069356,0.26069356,0.26069356
4.8,0.27167356,0.27167356,0.27167356,0.27167356
5.0,0.2762048,0.2762048,0.2762048,0.2762048
5.5,0.27983695,0.27983695,0.27983695,0.27983695
6.0,0.29598049,0.29598049,0.29598049,0.29598049
6.5,0.2926676,0.2926676,0.2926676,0.2926676
7.0,0.26252496,0.26252496,0.26252496,0.26252496
7.5,0.22337652,0.22337652,0.22337652,0.22337652
8.0,0.19066071,0.19066071,0.19066071,0.19066071
8.5,0.15507181,0.15507181,0.15507181,0.15507181
9.0,0.12953147,0.12953147,0.12953147,0.12953147
9.5,0.10200643,0.10200643,0.10200643,0.10200643
10.0,0.0831091,0.0831091,0.0831091,0.0831091
11.0,0.05331464,0.05331464,0.05331464,0.05331464
12.0,0.03595828,0.03595828,0.03595828,0.03595828
13.0,0.02649686,0.02649686,0.02649686,0.02649686
14.0,0.02125107,0.02125107,0.02125107,0.02125107
15.0,0.01846182,0.01846182,0.01846182,0.01846182
20.0,0.00861761,0.00861761,0.00861761,0.00861761

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1180 Horizontal-1 pSa (g),RSN-1180 Horizontal-2 pSa (g),RSN-1180 Vertical pSa (g)
0.01,0.1374871,0.1104574,0.0987
0.02,0.1376327,0.1106659,0.102
0.022,0.138157,0.1108987,0.102
0.025,0.1391808,0.1119266,0.109
0.029,0.1405547,0.1120888,0.103
0.03,0.1408775,0.1113888,0.106
0.032,0.1409941,0.1107112,0.104
0.035,0.1422731,0.1117409,0.114
0.036,0.1430688,0.1115776,0.117
0.04,0.1422825,0.1116571,0.13
0.042,0.1452693,0.1120749,0.136
0.044,0.1466755,0.1117654,0.148
0.045,0.1454902,0.1112684,0.146
0.046,0.14417,0.1105666,0.144
0.048,0.1445674,0.112316,0.14
0.05,0.1448679,0.113826,0.153
0.055,0.1436747,0.1117053,0.181
0.06,0.1546069,0.1158694,0.222
0.065,0.1612488,0.1214245,0.257
0.067,0.1651354,0.1239337,0.281
0.07,0.1706889,0.1216896,0.33
0.075,0.151128,0.1170328,0.388
0.08,0.1519006,0.1327083,0.319
0.085,0.160895,0.1259076,0.311
0.09,0.1657815,0.1208183,0.387
0.095,0.1560957,0.1252882,0.435
0.1,0.154769,0.1194768,0.387
0.11,0.1760085,0.1133808,0.291
0.12,0.1686695,0.1217581,0.252
0.13,0.176326,0.115537,0.258
0.133,0.1793807,0.119602,0.247
0.14,0.1856069,0.1199673,0.263
0.15,0.1637514,0.1220747,0.294
0.16,0.186962,0.1475275,0.266
0.17,0.2056567,0.174132,0.311
0.18,0.1823535,0.1438552,0.345
0.19,0.1661976,0.1414924,0.308
0.2,0.1909624,0.1678662,0.276
0.22,0.2535121,0.1883097,0.229
0.24,0.246437,0.1502613,0.179
0.25,0.2033502,0.1587127,0.191
0.26,0.1664494,0.1579496,0.242
0.28,0.1908988,0.1861171,0.265
0.29,0.2006063,0.203894,0.259
0.3,0.2271427,0.2135763,0.264
0.32,0.2421416,0.1813178,0.189
0.34,0.30231,0.2244073,0.129
0.35,0.3012313,0.23734,0.129
0.36,0.2779649,0.2424432,0.145
0.38,0.2688451,0.2624668,0.165
0.4,0.2811534,0.2936282,0.154
0.42,0.226021,0.3241152,0.128
0.44,0.2344309,0.3284482,0.136
0.45,0.2618981,0.337913,0.136
0.46,0.2807829,0.3382528,0.153
0.48,0.2821928,0.3010874,0.155
0.5,0.2266141,0.2483931,0.157
0.55,0.2950774,0.1766644,0.176
0.6,0.2765957,0.1745836,0.16
0.65,0.1998604,0.1542009,0.187
0.667,0.2125401,0.1654368,0.201
0.7,0.2702689,0.1845106,0.19
0.75,0.2981483,0.1978769,0.129
0.8,0.2473122,0.1894282,0.117
0.85,0.2249044,0.1959265,0.0997
0.9,0.1921865,0.2257115,0.0974
0.95,0.1994251,0.2260036,0.0974
1.0,0.2375748,0.2429386,0.103
1.1,0.2447895,0.2726606,0.0998
1.2,0.1934534,0.2574161,0.0803
1.3,0.1668676,0.2544608,0.0585
1.4,0.1433634,0.2884867,0.0729
1.5,0.1884563,0.2532783,0.0733
1.6,0.1635627,0.2145083,0.0546
1.7,0.1454532,0.2042158,0.0398
1.8,0.181755,0.2048849,0.0473
1.9,0.1961272,0.1988409,0.0503
2.0,0.1818899,0.1922622,0.0504
2.2,0.1882044,0.1776586,0.0414
2.4,0.2307071,0.1714296,0.0406
2.5,0.2061795,0.1710742,0.034
2.6,0.1675328,0.16924,0.0403
2.8,0.134854,0.1776349,0.0391
3.0,0.1229556,0.1876972,0.0378
3.2,0.1048393,0.1702137,0.0332
3.4,0.1135563,0.1468424,0.0305
3.5,0.1239882,0.1287913,0.0335
3.6,0.1307861,0.1257855,0.0379
3.8,0.1304789,0.127164,0.0453
4.0,0.1446603,0.1453011,0.053
4.2,0.1485147,0.179313,0.0562
4.4,0.1696771,0.1941593,0.0548
4.6,0.1731176,0.1949139,0.0509
4.8,0.1862099,0.1978191,0.0462
5.0,0.1866854,0.2035624,0.0432
5.5,0.195124,0.2005875,0.0437
6.0,0.2296869,0.1866772,0.0487
6.5,0.2434309,0.1624676,0.0497
7.0,0.2204505,0.1425515,0.0448
7.5,0.1925108,0.113299,0.0402
8.0,0.1658918,0.09397562,0.0354
8.5,0.1366977,0.07321889,0.0301
9.0,0.1161993,0.05723745,0.0249
9.5,0.09002675,0.04796349,0.0201
10.0,0.07311039,0.03952206,0.0176
11.0,0.04520315,0.02826882,0.0129
12.0,0.02853034,0.02188647,0.00914
13.0,0.01994126,0.01744792,0.00643
14.0,0.01573716,0.0142811,0.00477
15.0,0.01410812,0.01190797,0.00386
20.0,0.00690379,0.0051576,0.00156
